Symbol,Name
BIRLACORPN,Birla Corporation 
BIRLACOT,Birla Cotsyn (India) 
BIRLAERIC,Birla Ericsson Optical 
BIRLAMONEY,Aditya Birla Money 
BIRLAPOWER,Birla Power Solutions 
BLBLIMITED,BLB 
BLISSGVS,Bliss GVS Pharma 
BLKASHYAP,B. L. Kashyap and Sons 
BLUECHIP,Blue Chip India 
BLUECOAST,Blue Coast Hotels and Resorts 
BLUEDART,Blue Dart Express 
BLUESTARCO,Blue Star 
BLUESTINFO,Blue Star Infotech 
BOC,BOC India 
BOMDYEING,Bombay Dyeing & Mfg Company 
BOSCHLTD,Bosch 
BPCL,Bharat Petroleum Corporation 
BPL,BPL 
BRANDHOUSE,Brandhouse Retails 
BRFL,Bombay Rayon Fashions 
BRIGADE,Brigade Enterprises 
BRITANNIA,Britannia Industries 
BROADCAST,Broadcast Initiatives 
BSELINFRA,BSEL Infrastructure Realty 
BSL,BSL 
BSTRANSCOM,BS TransComm 
BURNPUR,Burnpur Cement 
BVCL,Barak Valley Cements 
CADILAHC,Cadila Healthcare 
CAIRN,Cairn India 
CALSOFT,California Software Company 
CAMBRIDGE,Cambridge Solutions 
CAMLIN,Camlin 
CANBK,Canara Bank
CANDC,C & C Constructions 
CANFINHOME,Can Fin Homes 
CANTABIL,Cantabil Retail India 
CARBORUNIV,Carborundum Universal 
CAROLINFO,Carol Info Services 
CASTROL,Castrol India 
CCCL,Consolidated Construction Consortium 
CCL,CCL Products (India) 
CEATLTD,CEAT 
CEBBCO,Commercial Engineers & Body Builders Co 
CELESTIAL,Celestial Biolabs 
CENTENKA,Century Enka 
CENTEXT,Century Extrusions 
CENTRALBK,Central Bank of India
CENTUM,Centum Electronics 
CENTURYPLY,Century Plyboards (India) 
CENTURYTEX,Century Textiles & Industries 
CERA,Cera Sanitaryware 
CESC,CESC 
CHAMBLFERT,Chambal Fertilizers & Chemicals 
CHEMFALKAL,Chemfab Alkalis 
CHEMPLAST,Chemplast Sanmar 
CHENNPETRO,Chennai Petroleum Corporation 
CHESLINTEX,Cheslind Textiles 
CHETTINAD,Chettinad Cement Corporation 
CHOLAFIN,Cholamandalam Investment and Finance Company 
CILNOVA,CIL Nova Petrochemicals 
CINEMAX,Cinemax India 
CINEVISTA,Cinevistaas 
CIPLA,Cipla 
CLASSIC,Classic Diamonds (India) 
CLNINDIA,Clariant Chemicals (India) 
CLUTCHAUTO,Clutch Auto 
CMAHENDRA,C. Mahendra Exports 
CMC,CMC 
COALINDIA,Coal India 
COLPAL,Colgate Palmolive (India) 
CONCOR,Container Corporation of India 
CONSOFINVT,Consolidated Finvest & Holdings 
CORAL-HUB,Coral Hub 
CORDSCABLE,Cords Cable Industries 
COREPROTEC,Core Projects and Technologies 
COROMANDEL,Coromandel International 
CORPBANK,Corporation Bank
COSMOFILMS,Cosmo Films 
COX&KINGS,Cox & Kings 
CPIL,Career Point Infosystems 
CREATIVEYE,Creative Eye 
CRESTANI,Crest Animation Studios 
CREWBOS,Crew B.O.S. Products 
CRISIL,CRISIL 
CROMPGREAV,Crompton Greaves 
CRONIMET,Cronimet Alloys India 
CTE,Cambridge Technology Enterprises 
CUB,City Union Bank 
CUBEXTUB,Cubex Tubings 
CUMMINSIND,Cummins India 
CURATECH,Cura Technologies 
CYBERMEDIA,Cyber Media (India) 
CYBERTECH,Cybertech Systems And Software 
DAAWAT,LT Foods 
DABUR,Dabur India 
DALMIASUG,Dalmia Bharat Sugar and Industries 
DATAMATICS,Datamatics Global Services 
DBCORP,D.B.Corp 
DBREALTY,D B Realty 
DCB,Development Credit Bank 
DCHL,Deccan Chronicle Holdings 
DCM,DCM 
DCMSRMCONS,DCM Shriram Consolidated 
DCW,DCW 
DECCANCE,Deccan Cements 
DECOLIGHT,Decolight Ceramics 
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation 
DEEPAKNTR,Deepak Nitrite 
DEEPIND,Deep Industries 
DELTACORP,Delta Corp 
DELTAMAGNT,Delta Magnets 
DEN,Den Networks 
DENABANK,Dena Bank
DENORA,De Nora India 
DEWANHOUS,Dewan Housing Finance Corporation 
DHAMPURSUG,The Dhampur Sugar Mills 
DHANBANK,Dhanlaxmi Bank 
DHANUKA,Dhanuka Agritech 
DHANUS,Dhanus Technologies 
DHARSUGAR,Dharani Sugars & Chemicals 
DHUNINV,Dhunseri Investments 
DIAPOWER,Diamond Power Infra Ltd
DICIND,DIC India 
DIGJAM,Digjam 
DISHMAN,Dishman Pharmaceuticals and Chemicals
DISHTV,Dish TV India 
DIVISLAB,Divi's Laboratories 
DLF,DLF 
DLINKINDIA,D-Link (India) 
DOLPHINOFF,Dolphin Offshore Enterprises (India) 
DONEAR,Donear Industries 
DPSCLTD,DPSC 
DPTL,Dhunseri Petrochem & Tea 
DQE,DQ Entertainment (International) 
DREDGECORP,Dredging Corporation of India 
DRREDDY,Dr. Reddy's Laboratories 
DSKULKARNI,DS Kulkarni Developers 
DUNCANSIND,Duncans Industries 
DWARKESH,Dwarikesh Sugar Industries 
DYNAMATECH,Dynamatic Technologies 
DYNASYS,Dynacons Systems & Solutions 
EASTSILK,Eastern Silk Industries 
EASUNREYRL,Easun Reyrolle 
ECEIND,ECE Industries 
ECLERX,eClerx Services 
EDELWEISS,Edelweiss Capital 
EDL,Empee Distilleries 
EDSERV,Edserv Softsystems 
EDUCOMP,Educomp Solutions 
EICHERMOT,Eicher Motors 
EIDPARRY,EID Parry India 
EIHAHOTELS,EIH Associated Hotels 
EIHOTEL,EIH 
EIMCOELECO,Eimco Elecon (India) 
EKC,Everest Kanto Cylinder 
ELDERPHARM,Elder Pharmaceuticals 
ELECON,Elecon Engineering Company 
ELECTCAST,Electrosteel Castings 
ELECTHERM,Electrotherm (India) 
ELGIEQUIP,Elgi Equipments 
EMAMIINFRA,Emami Infrastructure 
EMAMILTD,Emami 
EMCO,Emco 
EMKAY,Emkay Global Financial Services 
EMMBI,Emmbi Polyarns 
ENERGYDEV,Energy Development Company 
ENGINERSIN,Engineers India 
ENIL,Entertainment Network (India) 
ENTEGRA,Entegra 
ERAINFRA,Era Infra Engineering 
EROSMEDIA,Eros International Media 
ESABINDIA,Esab India 
ESCORTS,Escorts 
ESL,Electrosteel Steels 
ESSAROIL,Essar Oil 
ESSARPORTS,Essar Ports 
ESSDEE,Ess Dee Aluminium 
ESSELPACK,Essel Propack 
ESTER,Ester Industries 
EUROCERA,Euro Ceramics 
EUROMULTI,Euro Multivision 
EUROTEXIND,Eurotex Industries and Exports 
EVEREADY,Eveready Industries India 
EVERESTIND,Everest Industries 
EVERONN,Everonn Education 
EVINIX,Evinix Accessories 
EXCELCROP,Excel Crop Care 
EXCELINDUS,Excel Industries 
EXCELINFO,Excel Infoways 
EXIDEIND,Exide Industries 
FACT,Fertilizers and Chemicals Travancore 
FAGBEARING,FAG Bearings India 
FAME,Fame India 
FARMAXIND,Farmax India 
FCH,Future Capital Holdings 
FCSSOFT,FCS Software Solutions 
FDC,FDC 
FEDDERLOYD,Fedders Lloyd Corporation 
FEDERALBNK,The Federal Bank 
FIEMIND,Fiem Industries 
FINANTECH,Financial Technologies (India) 
FINCABLES,Finolex Cables 
FINPIPE,Finolex Industries 
FIRSTLEASE,First Leasing Company of India 
FIRSTWIN,First Winner Industries 
FKONCO,Fresenius Kabi Oncology 
FMGOETZE,Federal-Mogul Goetze (India) 
FORTIS,Fortis Healthcare (India) 
FOSECOIND,Foseco India 
FOURSOFT,Four Soft 
FSL,Firstsource Solutions 
FUTUREVENT,Future Ventures India 
GABRIEL,Gabriel India 
GAEL,Gujarat Ambuja Exports 
GAIL,GAIL (India) 
GAL,Gyscoal Alloys 
GALLANTT,Gallantt Metal 
GALLISPAT,Gallantt Ispat 
GAMMNINFRA,Gammon Infrastructure Projects 
GAMMONIND,Gammon India 
GANDHITUBE,Gandhi Special Tubes 
GANESHHOUC,Ganesh Housing Corporation 
GARDENSILK,Garden Silk Mills 
GARWALLROP,Garware Wall Ropes 
GLOBOFFS,Global Offshore Services 
GATI,GATI 
GDL,Gateway Distriparks 
GEECEE,GeeCee Ventures 
GEINDSYS,GEI Industrial Systems 
GEMINI,Gemini Communication 
GENESYS,Genesys International Corporation 
GENUSPOWER,Genus Power Infrastructures 
GEODESIC,Geodesic 
GEOJITBNPP,Geojit BNP Paribas Financial Services 
GEOMETRIC,Geometric 
GESHIP,The Great Eastern Shipping Company 
GHCL,GHCL 
GICHSGFIN,GIC Housing Finance 
GILLANDERS,Gillanders Arbuthnot & Company 
GILLETTE,Gillette India 
GINNIFILA,Ginni Filaments 
GIPCL,Gujarat Industries Power Company 
GISOLUTION,GI Engineering Solutions 
GITANJALI,Gitanjali Gems 
GKWLIMITED,GKW 
GLAXO,GlaxoSmithKline Pharmaceuticals 
GLENMARK,Glenmark Pharmaceuticals 
GLFL,Gujarat Lease Financing 
GLOBALVECT,Global Vectra Helicorp 
GLOBUSSPR,Globus Spirits 
GLODYNE,Glodyne Technoserve 
GLORY,Glory Polyfilms 
GMBREW,GM Breweries 
GMDCLTD,Gujarat Mineral Development Corporation 
GMRINFRA,GMR Infrastructure 
GNFC,Gujarat Narmada Valley Fertilizer Company 
GOACARBON,Goa Carbon 
GODFRYPHLP,Godfrey Phillips India 
GODREJCP,Godrej Consumer Products 
GODREJIND,Godrej Industries 
GODREJPROP,Godrej Properties 
GOENKA,Goenka Diamond and Jewels 
GOKEX,Gokaldas Exports 
GOKUL,Gokul Refoils and Solvent 
GOLDENTOBC,Golden Tobacco 
GOLDIAM,Goldiam International 
GOLDINFRA,Goldstone Infratech 
GOLDTECH,Goldstone Technologies 
GPIL,Godawari Power And Ispat limited
GPPL,Gujarat Pipavav Port 
GRABALALK,Grabal Alok Impex 
GRANULES,Granules India 
GRAPHITE,Graphite India 
GRASIM,Grasim Industries 
GREAVESCOT,Greaves Cotton 
GREENPLY,Greenply Industries 
GREENPOWER,Orient Green Power Company 
GRINDWELL,Grindwell Norton 
GRUH,Gruh Finance 
GSFC,Gujarat State Fertilizers & Chemicals 
GSKCONS,GlaxoSmithKline Consumer Healthcare 
GSLNOVA,GSL Nova Petrochemicals 
GSPL,Gujarat State Petronet 
GSSAMERICA,GSS America Infotech 
GTL,GTL 
GTLINFRA,GTL Infrastructure 
GTNIND,GTN Industries 
GTOFFSHORE,Great Offshore 
GUFICBIO,Gufic Biosciences 
GUJALKALI,Gujarat Alkalies and Chemicals 
GUJAPOLLO,Gujarat Apollo Industries 
GUJFLUORO,Gujarat Fluorochemicals 
GUJNRECOKE,Gujarat NRE Coke 
GUJRATGAS,Gujarat Gas Company 
GUJSIDHCEM,Gujarat Sidhee Cements 
GUJSTATFIN,Gujarat State Financial Corporation
GULFOILCOR,Gulf Oil Corporation 
GVKPIL,GVK Power & Infrastructure 
HALONIX,Halonix 
HANUNG,Hanung Toys and Textiles 
HARITASEAT,Harita Seating Systems 
HARRMALAYA,Harrisons Malayalam 
HATHWAY,Hathway Cable & Datacom 
HAVELLS,Havells India 
HBLPOWER,HBL Power Systems 
HBSTOCK,HB Stockholdings 
HCC,Hindustan Construction Company 
HCIL,Himadri Chemicals and Industries 
HCL-INSYS,HCL Infosystems 
HCLTECH,HCL Technologies 
HDFC,Housing Development Finance Corporation 
HDFCBANK,HDFC Bank 
HDIL,Housing Development and Infrastructure 
HEG,HEG 
HEIDELBERG,HeidelbergCement India 
HELIOSMATH,Helios And Matheson Information Technology 
HERCULES,Hercules Hoists 
HERITGFOOD,Heritage Foods (India) 
HEROHONDA,Hero Honda Motors 
HEXAWARE,Hexaware Technologies 
HFCL,Himachal Futuristic Communications 
HGSL,Hinduja Global Solutions 
HIKAL,Hikal 
HILTON,Hilton Metal Forging 
HIMATSEIDE,Himatsingka Seide 
HINDALCO,Hindalco Industries 
HINDCOMPOS,Hindustan Composites 
HINDCOPPER,Hindustan Copper 
HINDDORROL,Hindustan Dorr-Oliver 
HINDMOTORS,Hindustan Motors 
HINDNATGLS,Hindusthan National Glass & Industries 
HINDOILEXP,Hindustan Oil Exploration Company 
HINDPETRO,Hindustan Petroleum Corporation 
HINDSYNTEX,Hind Syntex 
HINDUJAFO,Hinduja Foundries 
HINDUJAVEN,Hinduja Ventures 
HINDUNILVR,Hindustan Unilever 
HINDZINC,Hindustan Zinc 
HIRECT,Hind Rectifiers 
HITACHIHOM,Hitachi Home and Life Solutions (India) 
HITECHGEAR,Hi-Tech Gears 
HITECHPLAS,Hitech Plast 
HMT,HMT 
HMVL,Hindustan Media Ventures 
HOCL,Hindustan Organic Chemicals 
HONAUT,Honeywell Automation India 
HONDAPOWER,Honda Siel Power Products 
HOPFL,House of Pearl Fashions 
HORIZONINF,Horizon Infrastructure 
HOTELEELA,Hotel Leela Venture 
HOTELRUGBY,Hotel Rugby 
HOVS,HOV Services 
HSIL,HSIL 
HTMEDIA,HT Media 
HYDRBADIND,Hyderabad Industries 
IBN18,ibn18 Broadcast 
IBPOW,Indiabulls Power 
IBREALEST,Indiabulls Real Estate 
IBSEC,Indiabulls Securities 
ICICIBANK,ICICI Bank 
ICIL,Indo Count Industries 
ICRA,ICRA 
ICSA,ICSA (India) 
IDBI,IDBI Bank 
IDEA,Idea Cellular 
IDFC,Infrastructure Development Finance Company 
IFBAGRO,IFB Agro Industries 
IFBIND,IFB Industries 
IFCI,IFCI 
IFGLREFRAC,IFGL Refractories 
IGARASHI,Igarashi Motors India 
IGL,Indraprastha Gas 
IGPL,IG Petrochemicals 
IITL,Industrial Investment Trust 
IL&FSENGG,IL&FS Engineering and Construction Company 
IL&FSTRANS,IL&FS Transportation Networks 
IMFA,Indian Metals & Ferro Alloys 
IMPAL,India Motor Parts and Accessories 
IMPEXFERRO,Impex Ferro Tech 
INDBANK,Indbank Merchant Banking Services 
INDHOTEL,The Indian Hotels Company 
INDIABULLS,Indiabulls Financial Services 
INDIACEM,The India Cements 
INDIAGLYCO,India Glycols 
INDIAINFO,India Infoline 
INDIANB,Indian Bank
INDIANCARD,Indian Card Clothing Company 
INDIANHUME,Indian Hume Pipe Company 
INDLMETER,IMP Powers 
INDNIPPON,India Nippon Electricals 
INDOASIFU,Indo Asian Fusegear 
INDOCO,Indoco Remedies 
INDORAMA,Indo Rama Synthetics (India) 
INDOSOLAR,Indosolar 
INDOTECH,Indo Tech Transformers 
INDOWIND,Indowind Energy 
INDRAMEDCO,Indraprastha Medical Corporation 
INDSWFTLAB,Ind-Swift Laboratories 
INDSWFTLTD,Ind-Swift 
INDUSFILA,Indus Fila 
INDUSINDBK,IndusInd Bank 
INEABS,INEOS ABS (India) 
INFINITE,Infinite Computer Solutions (India) 
INFOMEDIA,Infomedia 18 
INFY,Infosys 
INFOTECENT,Infotech Enterprises 
INGERRAND,Ingersoll Rand (India) 
INGVYSYABK,ING Vysya Bank 
INNOIND,Innoventive Industries 
INOXLEISUR,INOX Leisure 
INSECTICID,Insecticides (India) 
IOB,Indian Overseas Bank
IOC,Indian Oil Corporation 
IOLCP,IOL Chemicals and Pharmaceuticals 
IOLN,IOL Netcom 
IPCALAB,IPCA Laboratories 
IRB,IRB Infrastructure Developers 
ISFT,Intrasoft Technologies 
ISMTLTD,ISMT 
ISPATIND,Ispat Industries 
ITC,ITC 
ITDCEM,ITD Cementation India 
ITI,ITI 
IVC,IL&FS Investment Managers 
IVP,IVP 
IVRCLAH,IVRCL Assets & Holdings 
IVRCLINFRA,IVRCL 
J&KBANK,The Jammu & Kashmir Bank 
JAGRAN,Jagran Prakashan 
JAGSNPHARM,Jagsonpal Pharmaceuticals 
JAIBALAJI,Jai Balaji Industries 
JAICORPLTD,Jai Corp 
JAINSTUDIO,Jain Studios 
JAMNAAUTO,Jamna Auto Industries 
JAYAGROGN,Jayant Agro Organics 
JAYBARMARU,Jay Bharat Maruti 
JAYNECOIND,Jayaswal Neco Industries 
JAYSREETEA,Jayshree Tea & Industries 
JBCHEPHARM,JB Chemicals & Pharmaceuticals 
JBFIND,JBF Industries 
JBMA,JBM Auto 
JCTEL,JCT Electronics 
JENSONICOL,Jenson & Nicholson (India) 
JETAIRWAYS,Jet Airways (India) 
JEYPORE,The Jeypore Sugar Company 
JHS,JHS Svendgaard Laboratories 
JIKIND,JIK Industries 
JINDALPHOT,Jindal Photo 
JINDALPOLY,Jindal Poly Films 
JINDALSAW,Jindal Saw 
JINDALSTEL,Jindal Steel & Power 
JINDALSWHL,Jindal South West Holdings 
JINDCOT,Jindal Cotex 
JINDRILL,Jindal Drilling And Industries 
JINDWORLD,Jindal Worldwide 
JISLJALEQS,Jain Irrigation Systems 
JKCEMENT,JK Cement 
JKIL,J.Kumar Infraprojects 
JKLAKSHMI,JK Lakshmi Cement 
JKPAPER,JK Paper 
JKTYRE,JK Tyre & Industries 
JMCPROJECT,JMC Projects (India) 
JMFINANCIL,JM Financial 
JMTAUTOLTD,JMT Auto 
JOCIL,Jocil 
JPASSOCIAT,Jaiprakash Associates 
JPINFRATEC,Jaypee Infratech 
JPPOWER,Jaiprakash Power Ventures 
JSL,JSL Stainless 
JSWENERGY,JSW Energy 
JSWSTEEL,JSW Steel 
JUBILANT,Jubilant Life Sciences 
JUBLFOOD,Jubilant Foodworks 
JUBLINDS,Jubilant Industries 
JVLAGRO,JVL Agro Industries 
JYOTHYLAB,Jyothy Laboratories 
JYOTISTRUC,Jyoti Structures 
KABRAEXTRU,Kabra Extrusion Technik 
KAJARIACER,Kajaria Ceramics 
KAKATCEM,Kakatiya Cement Sugar & Industries 
KALECONSUL,Kale Consultants 
KALINDEE,Kalindee Rail Nirman (Engineers) 
KALPATPOWR,Kalpataru Power Transmission 
KALYANIFRG,Kalyani Forge 
KAMATHOTEL,Kamat Hotels (I) 
KANDAGIRI,Kandagiri Spinning Mills 
KANORICHEM,Kanoria Chemicals & Industries 
KANSAINER,Kansai Nerolac Paints 
KARURVYSYA,Karur Vysya Bank 
KAUSHALYA,Kaushalya Infrastructure Development Corporation 
KAVVERITEL,Kavveri Telecom Products 
KBIL,Kirloskar Brothers Investments 
KCP,KCP 
KCPSUGIND,KCP Sugar and Industries Corporation 
KEC,KEC International 
KECL,Kirloskar Electric Company 
KEI,KEI Industries 
KEMROCK,Kemrock Industries and Exports 
KERNEX,Kernex Microsystems (India) 
KESARENT,Kesar Enterprises 
KESORAMIND,Kesoram Industries 
KEYCORPSER,Keynote Corporate Services 
KFA,Kingfisher Airlines 
KGL,Karuturi Global 
KHAITANELE,Khaitan Electricals 
KHAITANLTD,Khaitan (India) 
KHANDSE,Khandwala Securities 
KICL,Kalyani Investment Company 
KIL,Kamdhenu Ispat 
KILITCH,Kilitch Drugs (India) 
KINETICMOT,Kinetic Motor Company 
KIRIINDUS,Kiri Industries 
KIRLOSBROS,Kirloskar Brothers 
KIRLOSENG,Kirloskar Oil Engines 
KIRLOSIND,Kirloskar Industries 
KITPLYIND,Kitply Industries 
KKCL,Kewal Kiran Clothing 
KLGSYSTEL,KLG Systel 
KMSUGAR,K.M.Sugar Mills 
KNRCON,KNR Constructions 
KOHINOOR,Kohinoor Foods 
KOLTEPATIL,Kolte - Patil Developers 
KOPDRUGS,KDL Biotech 
KOPRAN,Kopran 
KOTAKBANK,Kotak Mahindra Bank 
KOTARISUG,Kothari Sugars And Chemicals 
KOTHARIPET,Kothari Petrochemicals 
KOTHARIPRO,Kothari Products 
KOUTONS,Koutons Retail India 
KPIT,KPIT Cummins Infosystems 
KPRMILL,K.P.R. Mill 
KRBL,KRBL 
KRISHNAENG,Krishna Engineering Works 
KSBPUMPS,KSB Pumps 
KSCL,Kaveri Seed Company 
KSERASERA,K Sera Sera 
KSK,KSK Energy Ventures 
KSL,Kalyani Steels 
KSOILS,K S Oils 
KTIL,Kesar Terminals & Infrastructure 
KTKBANK,The Karnataka Bank 
LAKPRE,Lakshmi Precision Screws 
LAKSHMIEFL,Lakshmi Energy and Foods 
LAKSHVILAS,Lakshmi Vilas Bank 
LANCOIN,Lanco Industries 
LAOPALA,La Opala RG 
LAXMIMACH,Lakshmi Machine Works 
LGBBROSLTD,LG Balakrishnan & Bros 
LGBFORGE,LGB Forge 
LIBERTSHOE,Liberty Shoes 
LICHSGFIN,LIC Housing Finance 
LITL,Lanco Infratech 
LLOYDELENG,Lloyd Electric & Engineering 
LLOYDFIN,Lloyds Finance 
LLOYDSTEEL,Lloyds Steel Industries 
LML,LML 
LOGIXMICRO,Logix Microsystems 
LOKESHMACH,Lokesh Machines 
LOTUSEYE,Lotus Eye Care Hospital 
LOVABLE,Lovable Lingerie 
LPDC,Landmark Property Development Company 
LT,Larsen & Toubro 
LUMAXAUTO,Lumax Automotive Systems 
LUMAXIND,Lumax Industries 
LUMAXTECH,Lumax Auto Technologies 
LUPIN,Lupin 
LYKALABS,Lyka Labs 
M&M,Mahindra & Mahindra 
M&MFIN,Mahindra & Mahindra Financial Services 
MAANALU,Maan Aluminium 
MADHAV,Madhav Marbles and Granites 
MADHUCON,Madhucon Projects 
MADRASCEM,Madras Cements 
MADRASFERT,Madras Fertilizers 
MAGMA,Magma Fincorp 
MAGNUM,Magnum Ventures 
MAHABANK,Bank of Maharashtra
MAHINDFORG,Mahindra Forgings 
MAHINDUGIN,Mahindra Ugine Steel Company 
MAHLIFE,Mahindra Lifespace Developers 
MAHSCOOTER,Maharashtra Scooters 
MAHSEAMLES,Maharashtra Seamless 
MALWACOTT,Malwa Cotton Spg. Mills 
MANAKSIA,Manaksia 
MANALIPETC,Manali Petrochemical 
